case,n_mesh,n_shared_faces,worst_class,max_ratio,class_counts,msd,n_overlap_pairs,notes
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Prescribed_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Prescribed_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Prescribed_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Acetone_GEOM_Prescribed_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_30cm_1cm_DEVC.fds,0,0,no_mesh,,,,,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Predicted_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Predicted_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Predicted_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Predicted_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Prescribed_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Prescribed_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Prescribed_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Ethanol_GEOM_Prescribed_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methane_37cm_DEVC.fds,0,0,no_mesh,,,,,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methane_GEOM_Prescribed_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methane_GEOM_Prescribed_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methane_GEOM_Prescribed_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methane_GEOM_Prescribed_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_DEVC.fds,0,0,no_mesh,,,,,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Predicted_10cm.fds,16,28,uniform,1,uniform=28,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Predicted_1cm.fds,110,333,supported_2_4,4,uniform=221 supported_2_4=112,0.000469,0,
