file,line,end_line,routine,phase,kind,operation,direction,range_source,loop_vars,fields_read,fields_written,accumulators,weights,notes
ccib.f90,5619,5669,CC_MATCH_VELOCITY,runtime+setup,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DZ,OM_VV[=>OM%V|OM%VS]; OM%V_LNK,"DA_OTHER,VEL_LNK_OTHER,VEL_OTHER","AREA,AREA_RATIO,DA_OTHER"," | post: 5672: VV(II,JBAR,KK) = 0.5_EB*(VV(II,JBAR,KK) + VEL_OTHER/DA_OTHER) || 5673: EWC_UN_LNK(IW) = 0.5_EB*(EWC_UN_LNK(IW) + VEL_LNK_OTHER/DA_OTHER)"
ccib.f90,5680,5730,CC_MATCH_VELOCITY,runtime+setup,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DY,OM_WW[=>OM%W|OM%WS]; OM%W_LNK,"DA_OTHER,VEL_LNK_OTHER,VEL_OTHER","AREA,AREA_RATIO,DA_OTHER"," | post: 5733: WW(II,JJ,0)    = 0.5_EB*(WW(II,JJ,0) + VEL_OTHER/DA_OTHER) || 5734: EWC_UN_LNK(IW) = 0.5_EB*(EWC_UN_LNK(IW) + VEL_LNK_OTHER/DA_OTHER)"
ccib.f90,5741,5791,CC_MATCH_VELOCITY,runtime+setup,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%DX; M2%DY,OM_WW[=>OM%W|OM%WS]; OM%W_LNK,"DA_OTHER,VEL_LNK_OTHER,VEL_OTHER","AREA,AREA_RATIO,DA_OTHER"," | post: 5794: WW(II,JJ,KBAR) = 0.5_EB*(WW(II,JJ,KBAR) + VEL_OTHER/DA_OTHER) || 5795: EWC_UN_LNK(IW) = 0.5_EB*(EWC_UN_LNK(IW) + VEL_LNK_OTHER/DA_OTHER)"
ccib.f90,5831,5845,CC_MATCH_VELOCITY,runtime+setup,range_loop,other,both_runtime,EWC,"KKO,JJO,IIO",M2%FCVAR; OM_UU[=>OM%U|OM%US]; OM_VV[=>OM%V|OM%VS]; OM_WW[=>OM%W|OM%WS],,,,
ccib.f90,5847,5847,CC_MATCH_VELOCITY,runtime+setup,count_normalisation,other,both_runtime,,,,,,,"NOM_CELLS = REAL((EWC%IIO_MAX-EWC%IIO_MIN+1)*(EWC%JJO_MAX-EWC%JJO_MIN+1)*(EWC%KKO_MAX-EWC%KKO_MIN+1),EB)"
ccib.f90,15781,15783,CC_COMPUTE_VELOCITY_ERROR,runtime,pick_min_corner,pick_min,both_runtime,,,,,,,IIO1 = EWC%IIO_MIN
ccib.f90,15791,15818,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDXN; OM%H; M2%DY; M2%DZ; M2%CCVAR; M2%XC; OM%FVX; OM%U,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,15820,15847,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDXN; OM%H; M2%DY; M2%DZ; M2%CCVAR; M2%XC; OM%FVX; OM%U,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,15849,15876,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDYN; OM%H; M2%DX; M2%DZ; M2%CCVAR; M2%YC; OM%FVY; OM%V,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,15878,15905,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDYN; OM%H; M2%DX; M2%DZ; M2%CCVAR; M2%YC; OM%FVY; OM%V,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
