field,parent_type,file,routine,access,via,n_refs,first_line,lines,callee,arg_evidence
D,MESH_TYPE,ccib.f90,CC_SCALARS::MESH_CC_EXCHANGE::FILL_GCCUTCELL_SPECIES,read,ptr,1,5069,5069,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::INIT_CUTCELL_DATA,read,ptr,2,7827,7827;7869,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1,ptr_target,ptr,1,8371,8371,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1,ptr_target,alias:DP,1,8379,8379,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1,write,alias:DPVOL,7,8387,8387;8474;8521;8559;8604;8627;8662,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1,write,alias:DP,4,8418,8418;8777;8804;8827,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1,read,alias:DPVOL,7,8474,8474;8521;8559;8604;8627;8662;8726,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1::CCENTHALPY_ADVECTION,write,alias:DPVOL,15,9542,9542;9543;9570;9571;9598;9599;9661;9719;9778;9935;9975;10015;10116;10118;10120,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1::CCENTHALPY_ADVECTION,read,alias:DPVOL,15,9542,9542;9543;9570;9571;9598;9599;9661;9719;9778;9935;9975;10015;10116;10118;10120,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1::CC_DIFFUSIVE_HEAT_FLUXES,write,alias:DPVOL,16,10249,10249;10253;10279;10283;10308;10312;10343;10370;10397;10498;10502;10529;10533;10560;10564;10594,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1::CC_DIFFUSIVE_HEAT_FLUXES,read,alias:DPVOL,16,10249,10249;10253;10279;10283;10308;10312;10343;10370;10397;10498;10502;10529;10533;10560;10564;10594,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1::CC_CONDUCTION_HEAT_FLUX,write,alias:DPVOL,13,10670,10670;10671;10698;10699;10726;10727;10780;10825;10870;10959;10977;10995;11026,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_DIVERGENCE_PART_1::CC_CONDUCTION_HEAT_FLUX,read,alias:DPVOL,13,10670,10670;10671;10698;10699;10726;10727;10780;10825;10870;10959;10977;10995;11026,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_CHECK_DIVERGENCE,ptr_target,ptr,1,16309,16309,,
D,MESH_TYPE,ccib.f90,CC_SCALARS::CC_CHECK_DIVERGENCE,read,alias:DP,1,16324,16324,,
D,MESH_TYPE,divg.f90,DIVG::DIVERGENCE_PART_1,ptr_target,ptr,1,69,69,,
D,MESH_TYPE,divg.f90,DIVG::DIVERGENCE_PART_1,write,alias:DP,12,84,84;398;544;567;579;594;613;626;651;671;684;709,,
D,MESH_TYPE,divg.f90,DIVG::DIVERGENCE_PART_1,read,alias:DP,12,398,398;544;567;579;594;613;626;651;671;684;709;739,,
D,MESH_TYPE,divg.f90,DIVG::DIVERGENCE_PART_2,ptr_target,ptr,1,1464,1464,,
D,MESH_TYPE,divg.f90,DIVG::DIVERGENCE_PART_2,arg_readwrite,alias:DP,1,1537,1537,ADD_LINKEDCELL_D_PBAR_DT,ADD_LINKEDCELL_D_PBAR_DT(DIVG): INTENT(INOUT) ccib.f90:670
D,MESH_TYPE,divg.f90,DIVG::DIVERGENCE_PART_2,write,alias:DP,10,1540,1540;1554;1564;1589;1591;1593;1595;1597;1599;1602,,
D,MESH_TYPE,divg.f90,DIVG::DIVERGENCE_PART_2,read,alias:DP,10,1540,1540;1589;1591;1593;1595;1597;1599;1602;1619;1631,,
D,MESH_TYPE,divg.f90,DIVG::CHECK_DIVERGENCE,ptr_target,ptr,1,1663,1663,,
D,MESH_TYPE,divg.f90,DIVG::CHECK_DIVERGENCE,read,alias:DP,2,1666,1666;1689,,
D,MESH_TYPE,dump.f90,DUMP::DUMP_RESTART,read,ptr,1,3906,3906,,
D,MESH_TYPE,dump.f90,DUMP::READ_RESTART,write,ptr,1,4095,4095,,
D,MESH_TYPE,dump.f90,DUMP::GAS_PHASE_OUTPUT,read,ptr,1,8755,8755,,
D,MESH_TYPE,dump.f90,DUMP::SOLID_PHASE_OUTPUT,arg_read,ptr,1,10752,10752,TAU_WALL_IJ,TAU_WALL_IJ(DIVU): INTENT(IN) turb.f90:1541
D,MESH_TYPE,init.f90,INIT::INITIALIZE_MESH_VARIABLES_1,alloc,M,1,560,560,,
D,MESH_TYPE,init.f90,INIT::INITIALIZE_MESH_VARIABLES_1,write,M,1,793,793,,
D,MESH_TYPE,main.f90,FDS::MESH_EXCHANGE,ptr_target,M,1,3303,3303,,
D,MESH_TYPE,main.f90,FDS::MESH_EXCHANGE,read,alias:DP,2,3326,3326;3345,,
D,MESH_TYPE,mesh.f90,MESH_POINTERS::POINT_TO_MESH,ptr_target,M,1,520,520,,
