module,variable,decl_file,decl_line,kind,written_by,read_by_sample,blocks_pure_kernel,notes,fortran_type,dims,n_writers,n_runtime_writers,n_kernel_users,mesh_id_indexed
GLOBAL_CONSTANTS,PERIODIC_SURF_INDEX,cons.f90,641,runtime_scalar,READ_SURF(read.f90:8130),INIT_WALL_CELL(init.f90:3151); READ_VENT(read.f90:12514),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",INTEGER,,1,0,2,
GLOBAL_CONSTANTS,PERIODIC_TEST,cons.f90,587,runtime_scalar,,CC_DENSITY(ccib.f90:11751); CC_DIVERGENCE_PART_1(ccib.f90:8644); CC_H_INTERP(ccib.f90:7081); CC_NO_FLUX(ccib.f90:15448); CC_RHO0W_INTERP(ccib.f90:6978),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",INTEGER,,0,0,34,
GLOBAL_CONSTANTS,PL3D_PARTICLE_FLUX,cons.f90,676,runtime_scalar,READ_DUMP(read.f90:2536),DUMP_SLCF(dump.f90:6820),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,1,
GLOBAL_CONSTANTS,PLATE_FILM_FACTOR,cons.f90,379,runtime_scalar,,PARTICLE_MASS_ENERGY_TRANSFER(part.f90:3984),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",REAL(EB),,0,0,1,
GLOBAL_CONSTANTS,POROUS_FLOOR,cons.f90,670,runtime_scalar,,VENT_PARTICLE_EXTRACTION(part.f90:3104),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",LOGICAL,,0,0,1,
GLOBAL_CONSTANTS,PRESSURE_RELAX_TIME,cons.f90,698,runtime_scalar,,DIVERGENCE_PART_2(divg.f90:1497); READ_PRES(read.f90:10067),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",REAL(EB),,0,0,2,
GLOBAL_CONSTANTS,PRESSURE_TOLERANCE,cons.f90,551,runtime_scalar,READ_PRES(read.f90:10162),INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3182); PRESSURE_ITERATION_SCHEME(main.f90:1724); READ_PRES(read.f90:10067),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,3,
GLOBAL_CONSTANTS,PRES_FLAG,cons.f90,572,runtime_scalar,DEFINE_PRES_METHOD(func.f90:7156),CC_PROJECT_VELOCITY(ccib.f90:2833); GET_FH_FROM_PRHS_AND_BCS(ccib.f90:2109); GET_H_CUTFACES(ccib.f90:21330); GET_H_GUARD_CUTCELL(ccib.f90:526); GET_PRES_CFACE_BCS(ccib.f90:2322),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",INTEGER,,1,0,20,
GLOBAL_CONSTANTS,PRES_METHOD,cons.f90,561,runtime_scalar,DEFINE_PRES_METHOD(func.f90:7155),INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3853); INITIALIZE_MESH_VARIABLES_2(init.f90:1133),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",CHARACTER(LABEL_LENGTH),,1,0,2,
GLOBAL_CONSTANTS,PRES_ON_WHOLE_DOMAIN,cons.f90,734,runtime_scalar,DEFINE_PRES_METHOD(func.f90:7157); READ_GEOM(geom.f90:2701),COPY_H_OMESH_TO_MESH(pres.f90:4084); GET_BCS_H_MATRIX(pres.f90:4953); GET_H_MATRIX(pres.f90:5143); GET_H_REGFACES(pres.f90:5579); GET_MATRIXGRAPH_H_WHLDOM(pres.f90:5404),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,2,0,10,
