file,line,caller,phase,callee,code_or_args,guard,time_loop_stage,prev_call,next_call
main.f90,845,FDS,runtime(MAIN_LOOP),EXCHANGE_DIVERGENCE_INFO,,N_ZONE>0 .AND. .NOT.SOLID_PHASE_ONLY,predictor,DIVERGENCE_PART_1,DIVERGENCE_PART_2
main.f90,1065,FDS,runtime(MAIN_LOOP),EXCHANGE_DIVERGENCE_INFO,,N_ZONE>0 .AND. .NOT.SOLID_PHASE_ONLY,corrector,CALCULATE_RTE_SOURCE_CORRECTION_FACTOR,GLOBAL_MATRIX_REASSIGN
main.f90,759,FDS,runtime(MAIN_LOOP),EXCHANGE_EXTERNAL,,,predictor,STOP_CHECK,INSERT_ALL_PARTICLES
ccib.f90,7335,CC_SCALARS::CC_SET_DATA,setup,EXCHANGE_GEOMETRY_INFO,,,,GET_SOLID_CUTCELL_EDGES_BC,GET_CRTCFCC_INT_STENCILS
main.f90,193,FDS,setup(program body),EXCHANGE_GEOMETRY_INFO,,,setup,MPI_INITIALIZATION_CHORES,INITIALIZE_ATMOSPHERE
main.f90,312,FDS,setup(program body),EXCHANGE_GEOMETRY_INFO,,,setup,MESH_EXCHANGE,INITIALIZE_MESH_VARIABLES_2
main.f90,1791,FDS::CREATE_OR_REMOVE_OBSTRUCTIONS,runtime+setup,EXCHANGE_GEOMETRY_INFO,,,,MPI_ALLREDUCE,REASSIGN_WALL_CELLS
main.f90,2784,FDS::INITIALIZE_PRESSURE_ZONES,setup,EXCHANGE_GEOMETRY_INFO,,,,REALLOCATE_CELL,
main.f90,644,FDS,setup(program body),EXCHANGE_GLOBAL_OUTPUTS,,,setup,VERBOSE_PRINTOUT,UPDATE_CONTROLS
main.f90,1132,FDS,runtime(MAIN_LOOP),EXCHANGE_GLOBAL_OUTPUTS,,,corrector,UPDATE_GLOBAL_OUTPUTS,UPDATE_CONTROLS
main.f90,570,FDS,setup(program body),EXCHANGE_HVAC_BC,,N_MPI_PROCESSES>1,setup,STOP_CHECK,COLLAPSE_HVAC_BC
main.f90,828,FDS,runtime(MAIN_LOOP),EXCHANGE_HVAC_BC,,FIRST_PASS .AND. N_MPI_PROCESSES>1,predictor,HVAC_BC_IN,HVAC_CALC
main.f90,830,FDS,runtime(MAIN_LOOP),EXCHANGE_HVAC_SOLUTION,,N_MPI_PROCESSES>1,predictor,HVAC_CALC,INITIALIZE_DIVERGENCE_INTEGRALS
main.f90,603,FDS,setup(program body),EXCHANGE_NOBST_INFO,,,setup,VERBOSE_PRINTOUT,WRITE_VTKHDF_GEOM_FILE
main.f90,474,FDS,setup(program body),EXCHANGE_NPATCH_INFO,,,setup,INITIALIZE_MESH_DUMPS,EXCHANGE_NSLICE_INFO
main.f90,477,FDS,setup(program body),EXCHANGE_NSLICE_INFO,,,setup,EXCHANGE_NPATCH_INFO,WRITE_PARAVIEW_STATE_FILE
main.f90,179,FDS,setup(program body),EXCHANGE_VENT_AREA,,N_VENT_TOTAL > 0,setup,MPI_INITIALIZATION_CHORES,INITIALIZE_GLOBAL_VARIABLES
main.f90,1016,FDS,runtime(MAIN_LOOP),HT3D_TEMPERATURE_EXCHANGE,NM,,corrector,MESH_EXCHANGE,CALCULATE_DIRECTION_COEFFICIENTS
main.f90,333,FDS,setup(program body),INITIALIZE_BACK_CFACE_EXCHANGE,,,setup,VERBOSE_PRINTOUT,VERBOSE_PRINTOUT
main.f90,326,FDS,setup(program body),INITIALIZE_BACK_WALL_EXCHANGE,1,,setup,VERBOSE_PRINTOUT,MPI_BARRIER
main.f90,328,FDS,setup(program body),INITIALIZE_BACK_WALL_EXCHANGE,2,,setup,MPI_BARRIER,VERBOSE_PRINTOUT
main.f90,262,FDS,setup(program body),INITIALIZE_MESH_EXCHANGE_1,NM,,setup,WRITE_STATUS_FILES,VERBOSE_PRINTOUT
main.f90,297,FDS,setup(program body),INITIALIZE_RADIATION_EXCHANGE,NM,,setup,MPI_INITIALIZATION_CHORES,CHECK_FOR_MIRROR_BOUNDARY
main.f90,2649,FDS::INITIALIZE_PRESSURE_ZONES,setup,ZONE_BOUNDARY_EXCHANGE,,,,MPI_ALLREDUCE,MPI_ALLREDUCE
main.f90,2681,FDS::INITIALIZE_PRESSURE_ZONES,setup,ZONE_BOUNDARY_EXCHANGE,,,,ASSIGN_PRESSURE_ZONE,MPI_ALLREDUCE
